post_id,content_type,posting_hour,num_hashtags,caption_length,asks_for_interaction,day_of_week,engagement
1,reel,18,15,medium,yes,Wednesday,High
2,image,3,2,short,no,Sunday,Low
3,carousel,12,20,long,yes,Tuesday,High
4,reel,9,25,medium,yes,Thursday,High
5,image,2,4,short,no,Saturday,Low
6,carousel,19,18,long,yes,Wednesday,High
7,reel,14,10,medium,no,Friday,High
8,image,22,8,short,no,Monday,Low
9,reel,7,13,long,yes,Tuesday,High
10,image,11,12,medium,yes,Wednesday,High
11,carousel,17,22,long,yes,Thursday,High
12,reel,1,11,short,no,Sunday,Low
13,image,15,8,medium,no,Friday,Low
14,carousel,8,19,long,yes,Tuesday,High
15,reel,20,14,medium,yes,Wednesday,High
16,image,4,9,short,no,Monday,Low
17,reel,13,11,medium,yes,Thursday,High
18,carousel,6,16,short,no,Sunday,Low
19,image,16,17,long,yes,Wednesday,High
20,reel,23,12,short,no,Saturday,Low
21,carousel,10,21,long,yes,Tuesday,High
22,image,18,13,medium,yes,Wednesday,High
23,reel,15,9,medium,no,Friday,High
24,carousel,14,11,short,no,Monday,Low
25,image,20,11,medium,yes,Thursday,High
